index,title,link,ww_points,image,calories,summary,Key1,Key2,Key3,Key4,Key5,Key6,Key7,Key8,Key9,Key10,Key11,Key12,Key13
16,Mummy Hot Dogs,https://www.skinnytaste.com/mummy-hot-dogs/,2,https://www.skinnytaste.com/wp-content/uploads/2023/10/Mummy-Dogs-8-260x390.jpg,81,The kids will love these homemade Mummy Hot Dogs made with turkey franks – a fun kid-friendly appetizer for Halloween!,,,,,,,KF,,,,,,
17,Air Fryer Chicken Bites,https://www.skinnytaste.com/air-fryer-chicken-bites/,1,https://www.skinnytaste.com/wp-content/uploads/2023/10/air-fryer-chicken-bites-6-260x390.jpg,233,"These easy, high-protein Air Fryer Chicken Bites, made with boneless skinless chicken breast chunks, are perfect for a quick dinner! I make a batch and use the other half for meal prep for the week.",DF,,AF,FM,,HP,,LC,MP,Q,,,
18,Shaved Brussels Sprout Salad with Pears and Pomegranate,https://www.skinnytaste.com/shaved-brussels-sprout-salad/,4,https://www.skinnytaste.com/wp-content/uploads/2023/10/Shaved-Brussels-Sprouts-Salad-with-Pears-Pomegranate-and-Pepitas-6-260x390.jpg,154,"This delicious Shaved Brussels Sprout Salad made with juicy pears, pomegranates, pepitas, and goat cheese is the perfect fall side dish.",,,,,,,,LC,,Q,V,,
19,Pumpkin Mug Cake,https://www.skinnytaste.com/pumpkin-mug-cake/,4,https://www.skinnytaste.com/wp-content/uploads/2023/10/231005_Recipe-Session-068-copy-260x390.jpg,134,"This quick and easy microwave Pumpkin Mug Cake is the perfect fall dessert for one, or multiply the recipe and make it in ramekins to feed a crowd!",,GF,,,,,KF,,,Q,,,
20,Parmesan Brussel Sprouts,https://www.skinnytaste.com/parmesan-brussel-sprouts/,4,https://www.skinnytaste.com/wp-content/uploads/2023/10/Sheet-Pan-Parmesan-Brussels-Sprouts-9-260x390.jpg,163,"These crispy Parmesan Brussels Sprouts roast on a sheet pan coated with grated Parmesan cheese, they’re so good!",,GF,,,,,,,,,V,,
1,Mummy Jalapeno Poppers,https://www.skinnytaste.com/mummy-jalapeno-poppers/,2,https://www.skinnytaste.com/wp-content/uploads/2023/10/Mummy-Jalapeno-Poppers-8-260x390.jpg,65,"These cute, spicy Mummy Jalapeno Poppers, made with my Greek yogurt dough, are the perfect Halloween appetizer for your Halloween Party!",,,,,,,,,,,V,,
2,Roasted Pumpkin Seeds,https://www.skinnytaste.com/roasted-pumpkin-seeds/,3,https://www.skinnytaste.com/wp-content/uploads/2011/09/Roasted-Pumpkin-Seeds-9-260x390.jpg,72,"Roasted pumpkin seeds are a fun and easy snack to make with your kids, especially after carving a pumpkin. Season with just plain salt for a savory snack, toss them in cinnamon sugar for a sweet treat, or add any other flavors desired for a custom treat.",DF,GF,,,,,,LC,,,V,,
3,Instant Pot Brown Rice,https://www.skinnytaste.com/instant-pot-brown-rice/,5,https://www.skinnytaste.com/wp-content/uploads/2023/09/230922_instant-pot-brown-rice-15-260x390.jpg,184,"This foolproof Instant Pot brown rice is so easy and makes perfect, flavorful brown rice every time!",DF,GF,,FM,,,,,MP,,V,,
4,Autumn Kale Salad with Chicken,https://www.skinnytaste.com/kale-salad-with-chicken/,9,https://www.skinnytaste.com/wp-content/uploads/2023/09/Fall-Chopped-Salad-with-Chicken-7-260x390.jpg,504,"A healthy, fall Kale Salad with Chicken made with roasted butternut squash, apples, pecans, and goat cheese with a maple-Dijon vinaigrette.",,GF,,,HF,HP,,,MP,,,,
5,Roasted Sweet Potatoes,https://www.skinnytaste.com/roasted-sweet-potatoes/,6,https://www.skinnytaste.com/wp-content/uploads/2023/09/Roasted-Sweet-Potatoes-7-260x390.jpg,215,Sweet and savory roasted sweet potatoes are the perfect side dish for your favorite fall and winter dishes.,DF,GF,,,HF,,,,,,V,W,
6,Minestrone Soup,https://www.skinnytaste.com/minestrone-soup/,2,https://www.skinnytaste.com/wp-content/uploads/2023/09/Stovetop-Minestrone-Soup-7-260x390.jpg,175,"This is the best minestrone soup recipe, a hearty, vegetable-rich Italian soup made from scratch with plenty of fiber from the beans and vegetables. Perfect for serving with crusty bread.",,GF,,FM,HF,,,,MP,,,,
7,23 Easy Crock Pot Chicken Recipes,https://www.skinnytaste.com/crock-pot-chicken-recipes/, ,https://www.skinnytaste.com/wp-content/uploads/2023/05/23-crock-pot-chicken-260x390.png, ,"These Easy Crock Pot Chicken Recipes are ready to come to the rescue on busy weeknights. Give your oven the night off, because I’m sharing some of my best healthy chicken recipes that you can make in your slow cooker.",,,,,,,,,,,,,SC
8,Pumpkin Chocolate Chip Cookies,https://www.skinnytaste.com/pumpkin-chocolate-chip-cookies/,5,https://www.skinnytaste.com/wp-content/uploads/2023/09/230915_soft-pumpkin-chocolate-chip-cookies-12-260x390.jpg,95,"These soft Pumpkin Chocolate Chip Cookies, made with pumpkin puree, pumpkin spice, and cream cheese, have a cake-like texture and lots of pumpkin flavor!",,,,,,,KF,,,Q,V,,
9,Coconut Curry Butternut Squash Soup,https://www.skinnytaste.com/coconut-curry-butternut-squash-soup/,2,https://www.skinnytaste.com/wp-content/uploads/2010/10/Coconut-Curry-Butternut-Squash-Soup-5-260x390.jpg,108,"This Butternut Squash Soup is made with coconut milk, curry, and Indian spices which perfectly compliment the flavor of the butternut squash. It’s easy to make and leftovers store well!",DF,GF,,,,,,,,Q,V,,
10,Pumpkin Bread Recipe,https://www.skinnytaste.com/low-fat-pumpkin-bread-with-pepitas/,5,https://www.skinnytaste.com/wp-content/uploads/2011/10/Pumpkin-Bread-Recipe-5-260x390.jpg,103,"Warm your kitchen with the aroma of pumpkin spice by baking this healthy pumpkin bread, ideal for cool, cozy fall days.",DF,,,,,,,,,,V,,
11,Roasted Broccoli and Cauliflower,https://www.skinnytaste.com/roasted-broccoli-and-cauliflower/,4,https://www.skinnytaste.com/wp-content/uploads/2023/09/230912_roasted-broccoli-cauliflower-09-260x390.jpg,163,"This easy sheet pan roasted broccoli and cauliflower with Parmesan, breadcrumbs, and garlic is a quick and delicious side dish!",,GF,,,,,KF,,,Q,,,
12,Pumpkin Baked Oatmeal Cups,https://www.skinnytaste.com/pumpkin-baked-oatmeal-cups/,2,https://www.skinnytaste.com/wp-content/uploads/2023/09/Pumpkin-Baked-Oatmeal-Cups-7-260x390.jpg,104,"Made with pumpkin puree, oats, pumpkin pie spice, and Greek yogurt, these Pumpkin Baked Oatmeal Cups are an easy, creamy breakfast full of fall flavor. They’re perfect to make in advance for breakfast on-the-go!",,GF,,FM,,,,,MP,,V,,
13,Apple Turnover,https://www.skinnytaste.com/apple-turnover/,2,https://www.skinnytaste.com/wp-content/uploads/2023/09/Apple-Turnovers-11-260x390.jpg,111,"This easy Apple Turnover recipe is filled with apples, cinnamon, and golden raisins and made with a phyllo dough crust. It’s the perfect light fall dessert or breakfast!",DF,,,,,,KF,,,,V,,
14,Apple Cobbler Recipe,https://www.skinnytaste.com/skinny-apple-cobbler/,7,https://www.skinnytaste.com/wp-content/uploads/2021/10/Skinny-Apple-Cobbler-11-2-260x390.jpg,215,"Apple Cobbler recipe is made with warm cinnamon apples and a golden cobbler crust. Top it with whipped topping or yogurt, the perfect fall dessert!",,,,,,,,,,,V,,
15,Instant Pot Rice,https://www.skinnytaste.com/instant-pot-rice/,6,https://www.skinnytaste.com/wp-content/uploads/2023/09/Instant-Pot-White-Rice-4-260x390.jpg,179,"Making fluffy, perfect white rice in the Instant Pot is easy, delicious, and foolproof with this simple method!",DF,GF,,FM,,,,,MP,Q,V,,
16,Stuffed Shells with Meat Sauce,https://www.skinnytaste.com/spinach-stuffed-shells-with-meat-sauce/,9,https://www.skinnytaste.com/wp-content/uploads/2011/09/Spinach-Stuffed-Shells-with-Meat-Sauce-10-260x390.jpg,360.9,"Stuffed Shells with Meat Sauce made with jumbo pasta shells stuffed with ricotta (or use cottage cheese for more protein), mozzarella and spinach in a ground turkey meat sauce. Healthy, high protein and family friendly!",,GF,,FM,,,KF,,,,,,
17,Chicken Nuggets,https://www.skinnytaste.com/chicken-nuggets/,7,https://www.skinnytaste.com/wp-content/uploads/2023/09/Chicken-Nuggets-10-260x390.jpg,280,"These picky-kid-approved, healthy Chicken Nuggets made with ground chicken are crispy on the outside and juicy on the inside. Better than fast-food and even have hidden veggies inside!",DF,GF,AF,,,HP,KF,,,Q,,,
18,Classic Egg Salad,https://www.skinnytaste.com/classic-egg-salad/,3,https://www.skinnytaste.com/wp-content/uploads/2019/01/Egg-Salad-Finals-9-260x390.jpg,185,"This easy egg salad recipe is the perfect make-ahead dish for breakfast on toast, for lunch in a wrap, lettuce wrap, over salad or a slice of bread. Sometimes I just eat it with a spoon right out of the fridge!",DF,GF,,,,HP,KF,LC,MP,,V,W,
19,Pumpkin Chocolate Chip Muffins,https://www.skinnytaste.com/skinny-mini-pumpkin-chocolate-chip/,6,https://www.skinnytaste.com/wp-content/uploads/2013/09/Mini-Pumpkin-Chocolate-Chip-Muffins-9-260x390.jpg,160,Mini Pumpkin Chocolate Chip Muffins made lighter by swapping out butter for pumpkin puree – loaded with chocolate chips in every bite!,,,,,,,KF,,,,V,,
20,14 Healthy Cottage Cheese Recipes,https://www.skinnytaste.com/healthy-cottage-cheese-recipes/, ,https://www.skinnytaste.com/wp-content/uploads/2023/03/cottage-cheese-recipes-260x390.png, ,These 14 healthy cottage cheese recipes are easy to make that are high in protein and are super good for you.,,,,,,,,,,,,,
1,Banana Bread Recipe,https://www.skinnytaste.com/banana-bread/,4,https://www.skinnytaste.com/wp-content/uploads/2023/09/BananaBread-18-260x390.jpg,123,"When I have ripe bananas on my counter, I always crave this moist banana bread recipe made healthier with applesauce in place of butter.",DF,,,,,,KF,,,,V,,
2,Cinnamon-Raisin Overnight Oats,https://www.skinnytaste.com/cinnamon-raisin-overnight-oats/,8,https://www.skinnytaste.com/wp-content/uploads/2023/08/Cinnamon_Raisin_Overnight_Oats-03-260x390.jpg,378,"Easy Cinnamon-Raisin Overnight Oats are the perfect high-fiber, make-ahead, healthy weekday breakfast! No cooking required!",DF,GF,,,HF,,,,MP,,V,,
3,Orange Chicken,https://www.skinnytaste.com/orange-chicken-makeover/,4,https://www.skinnytaste.com/wp-content/uploads/2014/03/Orange-Chicken-7-260x390.jpg,288,"Sweet, tangy, slightly spicy and flavorful – this makeover Orange Chicken is a lighter and healthier version of the popular Chinese fast-food take-out dish",,GF,,,,,,,,Q,,,
4,Skinnytaste Simple Cookbook: Free Bonus Pack plus 2 Exclusive Recipes with Pre-Order,https://www.skinnytaste.com/skinnytaste-simple-cookbook-free-bonus-pack-plus-2-exclusive-recipes-with-pre-order/, ,https://www.skinnytaste.com/wp-content/uploads/2023/08/Screen-Shot-2023-08-30-at-4.27.34-PM-260x390.jpg, ,I’m so exciting that in just a few short weeks my new cookbook Skinnytaste Simple will finally be hitting bookstores!!,,,,,,,,,,,,,
5,Crispy Oven Roasted Baby Potatoes,https://www.skinnytaste.com/roasted-baby-potatoes/,4,https://www.skinnytaste.com/wp-content/uploads/2023/08/Sheet-Pan-Roasted-Potatoes-7-260x390.jpg,150,"The best, crispy Roasted Baby Potatoes made on a sheet pan with baby potatoes, spices, Italian seasoning, and grated Parmesan cheese.",,GF,,,,,KF,,,,,,
6,Pasta with Creamy Zucchini Sauce,https://www.skinnytaste.com/pasta-with-creamy-zucchini-sauce/,11,https://www.skinnytaste.com/wp-content/uploads/2023/08/Creamy-Pasta-with-Roasted-Parmesan-Zucchini-Sauce-10-260x390.jpg,390,"There’s no cream in this creamy pasta recipe. Instead, the roasted zucchini creates a delicious, creamy zucchini pasta sauce. Perfect as a meatless main dish or as a side with your favorite protein!",,,,FM,,,KF,,,,,,
7,"Salisbury Steak Meatballs (Instant Pot, Stove, Slow Cooker)",https://www.skinnytaste.com/salisbury-steak-meatballs-instant-pot-stove-top-slow-cooker/,7,https://www.skinnytaste.com/wp-content/uploads/2016/08/Salisbury-Steak-Meatballs-9-1-260x390.jpg,271,"These salisbury steak meatballs are cooked in a light mushroom gravy, lightened up by using half ground turkey and half lean ground beef.",,,,FM,,,KF,,MP,Q,,,SC
8,Mini Quiche,https://www.skinnytaste.com/mini-quiche/,6,https://www.skinnytaste.com/wp-content/uploads/2023/08/Mini-Quiche-Recipe-9-260x390.jpg,268,"If you need a healthy, protein-packed breakfast to make ahead and eat on the go, you’ll love this easy mini quiche recipe with ham and cheese. It’s great for breakfast, brunch, meal prep, and back to school.",,,,,,,,,MP,,,,
9,Cauliflower Rice,https://www.skinnytaste.com/cauliflower-rice/,2,https://www.skinnytaste.com/wp-content/uploads/2023/08/How-to-Make-Cauliflower-Rice-10-260x390.jpg,103,"Here’s a step-by-step recipe for making easy, low-carb cauliflower rice from scratch in the skillet or roasted in the oven. It’s delicious in bowls, arancini, stir fries, meal prep, and more.",DF,GF,,,,,,LC,MP,,V,,
10,Air Fryer Chicken Cutlets,https://www.skinnytaste.com/air-fryer-chicken-cutlets/,4,https://www.skinnytaste.com/wp-content/uploads/2023/08/Air-Fryer-Chicken-Cutlets-9-260x390.jpg,268,"Air fryer chicken cutlets turn out crispy, golden, juicy, and delicious – perfect with veggies, over salads, with pasta, and more.",,,AF,,,,KF,,,,,,
11,Cajun Chicken Pasta,https://www.skinnytaste.com/cajun-chicken-pasta-on-lighter-side/,7,https://www.skinnytaste.com/wp-content/uploads/2012/02/Cajun-Chicken-Pasta-4-260x390.jpg,324,"Cajun Chicken Pasta is packed with chicken strips, bell peppers, red onion, mushrooms, and scallions in a light, creamy Cajun sauce.",,,,,HF,,KF,,,Q,,,
12,Loaded Baked Potato Soup,https://www.skinnytaste.com/baked-potato-soup/,7,https://www.skinnytaste.com/wp-content/uploads/2016/08/Baked-Potato-Soup-5-260x390.jpg,200,"This healthy loaded baked potato soup recipe is comforting, delicious, and so easy to make! Made with hidden veggies!",,GF,,,,,KF,,,Q,,,
13,Turkey Meatloaf with Zucchini,https://www.skinnytaste.com/turkey-meatloaf-with-zucchini/,6,https://www.skinnytaste.com/wp-content/uploads/2022/07/Turkey-Meatloaf-with-Zucchini-6-260x390.jpg,275,"For the juiciest turkey meatloaf, add grated zucchini to it. This meatloaf is easy to whip up – mix all the ingredients, shape it into a loaf, and bake!",DF,GF,,FM,,HP,KF,,MP,,,,
14,Babka-Inspired Bagels,https://www.skinnytaste.com/babka-inspired-bagels/,5,https://www.skinnytaste.com/wp-content/uploads/2023/08/Babka-Bagels-19-260x390.jpg,158,"These Greek yogurt bagels with a babka-inspired filling of cinnamon, sugar, and chocolate are delicious served for breakfast with coffee or as an after school snack.",,,,,,,KF,,,,V,,
15,Roasted Broccoli with Smashed Garlic,https://www.skinnytaste.com/roasted-broccoli-with-smashed-garlic/,2,https://www.skinnytaste.com/wp-content/uploads/2010/03/Roasted-Broccoli-with-Smashed-Garlic-4-260x390.jpg,124,Oven roasted broccoli with smashed garlic takes broccoli from basic to delicious in under 30 minutes. A simple side dish with 5 ingredients.,DF,GF,,,,,,LC,,Q,V,,
16,Chicken Stroganoff,https://www.skinnytaste.com/chicken-stroganoff/,7,https://www.skinnytaste.com/wp-content/uploads/2023/08/Chicken-Stroganoff-9-1-260x390.jpg,241,"This family-friendly Chicken Stroganoff made with ground chicken and mushrooms in a creamy sauce is perfect over egg noodles, veggie noodles, or pasta.",,,,,,HP,KF,,,,,,
17,Feta Eggs with Zucchini,https://www.skinnytaste.com/feta-eggs-with-zucchini/,4,https://www.skinnytaste.com/wp-content/uploads/2023/08/Feta-Eggs-with-Zucchini-5-260x390.jpg,284,These 5-ingredient Feta Eggs with Zucchini take less than 10 minutes to make. An easy way to add veggies to your breakfast!,,GF,,,,HP,,LC,,Q,V,,
18,21 Healthy Rice Bowl Recipes,https://www.skinnytaste.com/rice-bowl-recipes/, ,https://www.skinnytaste.com/wp-content/uploads/2023/06/ricce-bowl-recipes-260x390.png, ,"Get creative with these easy rice bowl recipes! Rice bowls are a great way to pack protein, veggies, and more into a delicious all-in-one weeknight dinner or healthy lunch.",,,,,,HP,,,MP,Q,,,
19,Air Fryer Fish Sticks,https://www.skinnytaste.com/fish-sticks-in-air-fryer/,5,https://www.skinnytaste.com/wp-content/uploads/2023/08/Air-Fryer-Fish-Sticks-9-260x390.jpg,294,"Once you make air fryer fish sticks from scratch, you’ll never deep fry them again! Perfect with homemade tartar sauce.",,GF,AF,FM,,HP,KF,,MP,,,,
20,Instant Pot Chicken Noodle Soup,https://www.skinnytaste.com/instant-pot-chicken-noodle-soup/,4,https://www.skinnytaste.com/wp-content/uploads/2023/08/Instant-Pot-Chicken-Noodle-Soup-6-260x390.jpg,223,"Enjoy this quick and easy Instant Pot Chicken Noodle Soup in your lunch box, on a cold day or when you’re feeling under the weather. It’s so comforting!",DF,,,,,,KF,,MP,,,,
1,Hummus,https://www.skinnytaste.com/hummus/,3,https://www.skinnytaste.com/wp-content/uploads/2023/08/Hummus-8-260x390.jpg,252,This quick and easy blender hummus made with canned chickpeas comes out super creamy. It’s so easy to make from scratch that you’ll never buy it pre-made again!,DF,,,,HF,,,,,Q,V,,
2,Ratatouille with Farro,https://www.skinnytaste.com/ratatouille-with-farro/,5,https://www.skinnytaste.com/wp-content/uploads/2023/08/RatatouillewithFarro-13-260x390.jpg,243,"Ratatouille with Farro is loaded with summer vegetables, like tomatoes, zucchini, bell peppers, and eggplant. Enjoy it as a vegetarian main or as a side dish with a protein.",DF,,,FM,HF,,,,,,V,,
3,Shrimp Quesadilla,https://www.skinnytaste.com/shrimp-quesadilla/,7,https://www.skinnytaste.com/wp-content/uploads/2023/07/Shrimp-Quesadilla-5-260x390.jpg,299,Enjoy this protein-packed Shrimp Quesadilla recipe bursting with savory flavors – an ideal choice for a light and satisfying dinner or lunch.,,GF,,,HF,HP,KF,,,Q,,,
4,Zucchini Gnocchi,https://www.skinnytaste.com/zucchini-gnocchi/,3,https://www.skinnytaste.com/wp-content/uploads/2023/07/Zucchini-Gnocchi-4-260x390.jpg,216,"There are no potatoes in this homemade Zucchini Gnocchi. It’s mostly zucchini with a little flour and cheese, pan-fried with marinara sauce. Delish!",,GF,,,,,KF,,,,V,,
5,Strawberry Swiss Roll,https://www.skinnytaste.com/strawberry-swiss-roll/,5,https://www.skinnytaste.com/wp-content/uploads/2023/07/Strawberry-Roll-9-260x390.jpg,153,"A Strawberry Swiss Roll is a classic dessert that offers a delightful combination of sponge cake, fresh strawberries, and cream, perfect for spring and summer when strawberries are at their peak.",,,,,,,,,,,,,
6,Chicken Eggplant Parmesan,https://www.skinnytaste.com/chicken-eggplant-parmesan/,8,https://www.skinnytaste.com/wp-content/uploads/2023/07/Chicken-Eggplant-Parmesan-9-260x390.jpg,473,"Chicken Eggplant Parmesan is made with breaded, air-fried (or baked) chicken breast and topped with a simple eggplant marinara sauce and fresh mozzarella. It’s high in protein and delicious!",,,AF,,,HP,,,,,,,
7,Air Fryer Asian Meatballs,https://www.skinnytaste.com/air-fryer-asian-meatballs/,10,https://www.skinnytaste.com/wp-content/uploads/2023/07/Asian-Meatball-Rice-Bowls-6-260x390.jpg,483,"Air Fryer Asian Meatballs made with ground turkey, rice and edamame is a healthy dinner idea or lunch and great for meal prep!",DF,,AF,FM,HF,HP,,,MP,,,,
8,Gazpacho,https://www.skinnytaste.com/gazpacho/,2,https://www.skinnytaste.com/wp-content/uploads/2023/07/230718_gazpacho-14-260x390.jpg,116,"Gazpacho, a chilled soup made with fresh tomatoes, cucumbers, and bell peppers, is a delicious way to stay cool and hydrated during the hot summer months.",DF,,,,,,,,,,V,,
9,Zucchini Pancakes,https://www.skinnytaste.com/zucchini-pancakes-225-pts/,2,https://www.skinnytaste.com/wp-content/uploads/2008/07/ZuchiniPancakes-06-260x390.jpg,120,"Like potato pancakes but with fewer carbs, these savory Zucchini Pancakes are the perfect side dish with grilled chicken or steak.",,,,,,,KF,LC,,,V,,
10,Corn Salsa,https://www.skinnytaste.com/corn-salsa-with-lime/,0,https://www.skinnytaste.com/wp-content/uploads/2019/02/Corn-Salsa-with-Lime-5-260x390.jpg,57,"This easy corn salsa made with lime, cilantro, and tomatoes is perfect with chips or served over your favorite tacos or burrito bowls!",DF,GF,,,,,KF,LC,,Q,V,,
11,Zucchini Bread,https://www.skinnytaste.com/zucchini-bread/,5,https://www.skinnytaste.com/wp-content/uploads/2022/08/Zucchini-Bread-7-1-260x390.jpg,144,"This moist, delicious Zucchini Bread with walnuts, cinnamon, and vanilla, is made healthy and light with applesauce – a great way to use up that summer zucchini!",DF,GF,,FM,,,KF,,,,V,,
12,Spicy Salmon Sushi Pizza,https://www.skinnytaste.com/spicy-salmon-sushi-pizza/,8,https://www.skinnytaste.com/wp-content/uploads/2023/07/Spicy-Salmon-Sushi-Pizza-7-260x390.jpg,403,"I’m obsessed with this spicy salmon sushi pizza made with spicy mayo, sushi-grade salmon, avocado, scallions, and jalapeño on a tortilla crust.",DF,GF,AF,,,HP,,,,,,,
13,Air Fryer Pork Chops,https://www.skinnytaste.com/crispy-breaded-pork-chops-in-the-air-fryer/,7,https://www.skinnytaste.com/wp-content/uploads/2021/09/Air-Fryer-Pork-Chops-5-1-260x390.jpg,378,"These crispy, air fryer pork chops are moist, tender and juicy on the inside with a golden-crispy breaded crust on the outside!",DF,GF,AF,,,,KF,,,Q,,,
14,Pupusas,https://www.skinnytaste.com/pupusas/,6,https://www.skinnytaste.com/wp-content/uploads/2023/07/Pupusas-12-260x390.jpg,220,"Pupusas are stuffed tortillas made with corn masa, cheese and beans served with curtido. They’re easy to customize with any filling you wish.",DF,GF,,FM,HF,,,,,,V,,
15,Waffled Zucchini Fritters,https://www.skinnytaste.com/zucchini-waffles/,2,https://www.skinnytaste.com/wp-content/uploads/2023/07/Savory-Zucchini-Waffle-Recipe-5-260x390.jpg,75,"Dust off that waffle iron and make these savory zucchini waffles! It’s easy, super delicious, and a great way to use summer zucchini.",DF,GF,,,,,KF,LC,,,V,,
16,BBQ Chicken,https://www.skinnytaste.com/bbq-chicken/,7,https://www.skinnytaste.com/wp-content/uploads/2023/07/BBQ-Chicken-8-260x390.jpg,267,"This 5-ingredient BBQ Chicken is juicy, beautifully charred, and easy to make using your favorite BBQ sauce. Perfect for your summer cookout!",DF,,,,,HP,,LC,,,,,
17,Homemade Ferrero Rocher (Hazelnut) Date Balls,https://www.skinnytaste.com/homemade-ferrero-rocher-hazelnut-date-balls/,5,https://www.skinnytaste.com/wp-content/uploads/2023/06/HomemadeFerreroRocherHazelnutDateBalls-06-260x390.jpg,90,"Healthy Chocolate Hazelnut Date Balls, inspired by Ferrero Rocher are made with hazelnuts, dates, pumpkin puree, and cocoa powder.",DF,GF,,,,,,,,Q,V,,
18,20 Best Burger Recipes,https://www.skinnytaste.com/burger-recipes/, ,https://www.skinnytaste.com/wp-content/uploads/2023/05/20-best-burger-recipes-260x390.png, ,"I’m sharing my Best Burger Recipes for grilling season and beyond. From juicy turkey burgers to satisfying veggie burgers, beef burgers, salmon burgers, and more, these healthy homemade burgers are ready for all your cookouts!",,,,,,HP,,,,,,,
19,Grilled Pesto Chicken and Tomato Kebabs,https://www.skinnytaste.com/grilled-pesto-chicken-and-tomato-kebabs/,2,https://www.skinnytaste.com/wp-content/uploads/2013/06/Grilled-Pesto-Chicken-and-Tomato-Kebabs-7-260x390.jpg,147,"Grilled Pesto Chicken and Tomato Kebabs SCREAM summer! Made with chunks of boneless chicken breasts, basil pesto, and cherry tomatoes, they are great as an appetizer or dinner.",,GF,,,,,KF,LC,,,,,
20,Chicken Burger,https://www.skinnytaste.com/chicken-burger/,7,https://www.skinnytaste.com/wp-content/uploads/2023/06/Chicken_Burger-06-260x390.jpg,284,"This moist and juicy ground chicken burgers are perfect on a bun with all the fixins, in a lettuce wrap for a carb-free meal, or in a bowl with grains and veggies for meal prep!",DF,,,FM,,HP,,,MP,Q,,,
1,Coleslaw Recipe,https://www.skinnytaste.com/coleslaw-recipe/,2,https://www.skinnytaste.com/wp-content/uploads/2023/06/Cole-Slaw-7-260x390.jpg,73,"This easy coleslaw recipe is the perfect side to pair with anything you’re grilling this summer! Serve it as a side dish with a pulled pork sandwich, burgers, hot dogs, and more.",DF,GF,,,,,,LC,,Q,V,W,
2,Grilled Chicken Sandwich,https://www.skinnytaste.com/grilled-chicken-sandwich/,6,https://www.skinnytaste.com/wp-content/uploads/2023/06/Grilled-Chicken-Sandwiches-6-1-260x390.jpg,406,"My favorite Grilled Chicken Sandwich, made with tender, pickle-brined grilled chicken breast with a zesty slaw and spicy mayo – so good!!",DF,,,,,HP,KF,,,,,,
3,Grilled Pineapple,https://www.skinnytaste.com/grilled-pineapple-2-pts/,4,https://www.skinnytaste.com/wp-content/uploads/2011/06/Grilled-Pineapple-4-260x390.jpg,102,"This quick and easy Grilled Pineapple with honey, lime juice, and cinnamon is the perfect dessert for summer dinners or backyard parties!",DF,GF,,,,,KF,,,,V,,
4,Mediterranean Meatballs,https://www.skinnytaste.com/mediterranean-meatballs/,11,https://www.skinnytaste.com/wp-content/uploads/2023/06/Mediterranean-Meatball-Bowl-8-260x390.jpg,466,"Mediterranean Meatballs made with flavorful ground turkey meatballs served over Israeli couscous and a bright, lemony cucumber tomato salad. Make them in the air fryer or oven!",,GF,AF,,,,KF,,MP,,,,
5,Smash Tacos,https://www.skinnytaste.com/smash-taco-recipe/,12,https://www.skinnytaste.com/wp-content/uploads/2023/06/Smashed-Taco-10-260x390.jpg,452,I hopped on the smashed taco trend and made these turkey smash burger tacos a little lighter than what I’ve seen on TikTok. They came out delicious!,,,,,,,KF,,,Q,,,
6,Loaded Egg Muffins,https://www.skinnytaste.com/loaded-baked-omelet-muffins/,2,https://www.skinnytaste.com/wp-content/uploads/2016/02/Loaded-Baked-Omelet-Muffins-4-260x390.jpg,165,"Fill these easy loaded egg muffins with any combination of veggies, cheese, and meats. Perfect breakfast to make ahead for the week.",,GF,,FM,,,KF,LC,MP,Q,,,
7,Veggie Kabobs,https://www.skinnytaste.com/veggie-kabobs/,1,https://www.skinnytaste.com/wp-content/uploads/2023/06/Veggie-Kabobs-7-260x390.jpg,105,"These colorful, fresh veggie kabobs are perfect for throwing on the grill when you need a quick side dish. So delicious and easy!",DF,GF,,,,,KF,,,Q,V,,
8,Chipotle Chicken,https://www.skinnytaste.com/chipotle-chicken/,4,https://www.skinnytaste.com/wp-content/uploads/2023/06/Chipotle-Chicken-Thighs-7-260x390.jpg,216,"This quick and easy chipotle chicken recipe is made with boneless chicken thighs (or breasts), delicious for homemade burrito bowls, tacos, quesadillas, and more.",DF,GF,AF,,,HP,KF,LC,MP,Q,,,
9,Italian Pasta Salad,https://www.skinnytaste.com/italian-pasta-salad/,7,https://www.skinnytaste.com/wp-content/uploads/2023/06/Italian-Pasta-Salad-7-260x390.jpg,237,"Serve this delicious cold pasta salad at your next BBQ or summer party. It’s packed with colorful veggies, such as broccoli, tomatoes, and cucumbers, plus Italian favorites, like salami, cheese, pepperoncini, and olives.",,GF,,,,,KF,,,,,,
10,How To Cook Quinoa,https://www.skinnytaste.com/basic-quinoa-recipe-4-pts/,4,https://www.skinnytaste.com/wp-content/uploads/2019/08/How-To-Make-Perfect-Quinoa-in-the-Instant-Pot-9-260x390.jpg,172,"A foolproof recipe for making perfect, fluffy quinoa for adding to salads, stir-fries, bowls, and even breakfast dishes and so much more.",DF,GF,,,,,,,,Q,V,,
11,13 Easy Canned Tuna Recipes,https://www.skinnytaste.com/canned-tuna-recipes/, ,https://www.skinnytaste.com/wp-content/uploads/2023/05/best-canned-tuna-recipes-260x390.png, ,"I always have cans of tuna in the pantry as it’s affordable, convenient, and protein-packed! Below, I’m sharing 13 Easy Canned Tuna Recipes that you can make for healthy lunch or dinner ideas any day of the week.",,,,,,,,,,,,,
